Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
0.5,57240.1
1.5,115369
2.5,115194
3.5,-607.2
4.5,-607.2
5.5,-607.2
6.5,-607.2
7.5,-607.2
8.5,-607.2
9.5,-607.2
10.5,-4594.57
11.5,101855
12.5,108805
13.5,108163
14.5,108312
15.5,111964
16.5,110871
17.5,112246
18.5,114263
19.5,114482
20.5,114394
21.5,114261
22.5,39944.3
23.5,-607.2
24.5,-607.2
25.5,-607.2
26.5,-607.2
27.5,-607.2
28.5,-607.2
29.5,-607.2
30.5,-607.2
31.5,-607.2
32.5,-607.2
33.5,-607.2
34.5,-4840.22
35.5,108465
36.5,108035
37.5,107382
38.5,107773
39.5,108987
40.5,110783
41.5,112113
42.5,114117
43.5,114349
44.5,114292
45.5,114218
46.5,114110
47.5,113929
48.5,-607.2
49.5,-607.2
50.5,-607.2
51.5,-607.2
52.5,-607.2
53.5,-607.2
54.5,-607.2
55.5,-607.2
56.5,-607.2
57.5,-607.2
58.5,-4481.68
59.5,98014.3
60.5,109491
61.5,109230
62.5,109619
63.5,110486
64.5,111733
65.5,113855
66.5,114083
67.5,113987
68.5,113840
69.5,31681.1
70.5,-607.2
71.5,-607.2
72.5,-607.2
73.5,-607.2
74.5,-607.2
75.5,-607.2
76.5,-607.2
77.5,-607.2
78.5,-607.2
79.5,-607.2
80.5,-607.2
81.5,-607.2
82.5,-2111.9
83.5,-1579.58
84.5,110921
85.5,109343
86.5,112210
87.5,106509
88.5,111600
89.5,-893.16
90.5,-607.2
91.5,-607.2
92.5,-607.2
93.5,-607.2
94.5,-607.2
95.5,-607.2
96.5,-607.2
97.5,-607.2
98.5,-607.2
99.5,-607.2
100.5,-607.2
101.5,-607.2
102.5,-607.2
103.5,-607.2
104.5,-607.2
105.5,-607.2
106.5,-4530.08
107.5,99971
108.5,110201
109.5,110450
110.5,110686
111.5,111524
112.5,111868
113.5,112526
114.5,112713
115.5,94109.4
116.5,-607.2
117.5,-607.2
118.5,-607.2
119.5,-607.2
120.5,-607.2
121.5,-607.2
122.5,-607.2
123.5,-607.2
124.5,-607.2
125.5,-607.2
126.5,-607.2
127.5,-607.2
128.5,-607.2
129.5,-607.2
130.5,-3775.68
131.5,52864.3
132.5,111115
133.5,58327.4
134.5,-607.2
135.5,-607.2
136.5,-3847.59
137.5,-893.16
138.5,-607.2
139.5,-607.2
140.5,-607.2
141.5,-607.2
142.5,-607.2
143.5,-607.2
144.5,-607.2
145.5,-607.2
146.5,-607.2
147.5,-607.2
148.5,-607.2
149.5,-607.2
150.5,-607.2
151.5,-607.2
152.5,-607.2
153.5,-607.2
154.5,-4510.58
155.5,99429.1
156.5,108943
157.5,108323
158.5,108531
159.5,109518
160.5,110992
161.5,113079
162.5,113328
163.5,113268
164.5,113182
165.5,113054
166.5,53750.1
167.5,-607.2
168.5,-607.2
169.5,-607.2
170.5,-607.2
171.5,-607.2
172.5,-607.2
173.5,-607.2
174.5,-607.2
175.5,-607.2
176.5,-607.2
177.5,-607.2
178.5,-3531.56
179.5,46734.1
180.5,108721
181.5,111702
182.5,66878.6
183.5,109396
184.5,110879
185.5,111939
186.5,113599
187.5,74120.7
188.5,-607.2
189.5,-607.2
190.5,-607.2
191.5,-607.2
192.5,-607.2
193.5,-607.2
194.5,-607.2
195.5,-607.2
196.5,-607.2
197.5,-607.2
198.5,-607.2
199.5,-607.2
200.5,-607.2
201.5,-607.2
202.5,-5012.1
203.5,109319
204.5,107427
205.5,107532
206.5,107917
207.5,108451
208.5,110526
209.5,112035
210.5,114031
211.5,114278
212.5,114234
213.5,114173
214.5,114089
215.5,113972
216.5,78346.4
217.5,-607.2
218.5,-607.2
219.5,-607.2
220.5,-607.2
221.5,-607.2
222.5,-607.2
223.5,-607.2
224.5,-607.2
225.5,-607.2
226.5,-4621.26
227.5,102681
228.5,108360
229.5,107760
230.5,108146
231.5,109507
232.5,111040
233.5,112160
234.5,114128
235.5,114356
236.5,114279
237.5,114182
238.5,114048
239.5,51678.7
240.5,-607.2
241.5,-607.2
242.5,-607.2
243.5,-607.2
244.5,-607.2
245.5,-607.2
246.5,-607.2
247.5,-607.2
248.5,-607.2
249.5,-607.2
250.5,-4328.63
251.5,88781.4
252.5,109164
253.5,108393
254.5,108412
255.5,109213
256.5,110732
257.5,112034
258.5,113984
259.5,114203
260.5,114124
261.5,114024
262.5,113872
263.5,15795.9
264.5,-607.2
265.5,-607.2
266.5,-607.2
267.5,-607.2
268.5,-607.2
269.5,-607.2
270.5,-607.2
271.5,-607.2
272.5,-607.2
273.5,-607.2
274.5,-4072.65
275.5,72072.5
276.5,109664
277.5,109086
278.5,109346
279.5,110229
280.5,111485
281.5,113775
282.5,113998
283.5,113897
284.5,113744
285.5,27450.5
286.5,-607.2
287.5,-607.2
288.5,-607.2
289.5,-607.2
290.5,-607.2
291.5,-607.2
292.5,-607.2
293.5,-607.2
294.5,-607.2
295.5,-607.2
296.5,-607.2
297.5,-607.2
298.5,-4101.33
299.5,73842.1
300.5,109652
301.5,109284
302.5,109430
303.5,110093
304.5,111278
305.5,113674
306.5,113905
307.5,113814
308.5,113671
309.5,50696
310.5,-607.2
311.5,-607.2
312.5,-607.2
313.5,-607.2
314.5,-607.2
315.5,-607.2
316.5,-607.2
317.5,-607.2
318.5,-607.2
319.5,-607.2
320.5,-607.2
321.5,-607.2
322.5,-3838.95
323.5,55166.4
324.5,110732
325.5,87226.9
326.5,-3217.52
327.5,37649.3
328.5,108869
329.5,-893.16
330.5,-607.2
331.5,-607.2
332.5,-607.2
333.5,-607.2
334.5,-607.2
335.5,-607.2
336.5,-607.2
337.5,-607.2
338.5,-607.2
339.5,-607.2
340.5,-607.2
341.5,-607.2
342.5,-607.2
343.5,-607.2
344.5,-607.2
345.5,-607.2
346.5,-3859.46
347.5,56887.2
348.5,109688
349.5,109013
350.5,108798
351.5,109808
352.5,111239
353.5,112917
354.5,113144
355.5,113056
356.5,112924
357.5,49672.6
358.5,-607.2
359.5,-607.2
360.5,-607.2
361.5,-607.2
362.5,-607.2
363.5,-607.2
364.5,-607.2
365.5,-607.2
366.5,-607.2
367.5,-607.2
368.5,-607.2
369.5,-607.2
370.5,-4391.53
371.5,92870.2
372.5,109420
373.5,110278
374.5,111843
375.5,112622
376.5,112771
377.5,12893.4
378.5,-607.2
379.5,-607.2
380.5,-607.2
381.5,-607.2
382.5,-607.2
383.5,-607.2
384.5,-607.2
385.5,-607.2
386.5,-607.2
387.5,-607.2
388.5,-607.2
389.5,-607.2
390.5,-607.2
391.5,-607.2
392.5,-607.2
393.5,-607.2
394.5,-4621.04
395.5,102973
396.5,108574
397.5,107494
398.5,107378
399.5,108110
400.5,109726
401.5,111794
402.5,113827
403.5,114079
404.5,114026
405.5,113958
406.5,113875
407.5,113763
408.5,95327.3
409.5,-607.2
410.5,-607.2
411.5,-607.2
412.5,-607.2
413.5,-607.2
414.5,-607.2
415.5,-607.2
416.5,-607.2
417.5,-607.2
418.5,-5134.34
419.5,109025
420.5,107200
421.5,106261
422.5,106479
423.5,107717
424.5,109719
425.5,111911
426.5,114343
427.5,114596
428.5,114556
429.5,114508
430.5,114448
431.5,114365
432.5,114247
433.5,91535.4
434.5,-607.2
435.5,-607.2
436.5,-607.2
437.5,-607.2
438.5,-607.2
439.5,-607.2
440.5,-607.2
441.5,-607.2
442.5,-2173.15
443.5,-4007.23
444.5,103103
445.5,108908
446.5,111656
447.5,111853
448.5,110445
449.5,111861
450.5,113336
451.5,113484
452.5,33217.9
453.5,-607.2
454.5,-607.2
455.5,-607.2
456.5,-607.2
457.5,-607.2
458.5,-607.2
459.5,-607.2
460.5,-607.2
461.5,-607.2
462.5,-607.2
463.5,-607.2
464.5,-607.2
465.5,-607.2
466.5,-5156.85
467.5,109036
468.5,107238
469.5,106255
470.5,106387
471.5,107547
472.5,109527
473.5,111757
474.5,114160
475.5,114403
476.5,114348
477.5,114295
478.5,114236
479.5,114155
480.5,114040
481.5,108384
482.5,-607.2
483.5,-607.2
484.5,-607.2
485.5,-607.2
486.5,-607.2
487.5,-607.2
488.5,-607.2
489.5,-607.2
490.5,-4738.23
491.5,106166
492.5,108887
493.5,108699
494.5,109195
495.5,110174
496.5,111428
497.5,114068
498.5,114319
499.5,114248
500.5,114140
501.5,112671
502.5,-607.2
503.5,-607.2
504.5,-607.2
505.5,-607.2
506.5,-607.2
507.5,-607.2
508.5,-607.2
509.5,-607.2
510.5,-607.2
511.5,-607.2
512.5,-607.2
513.5,-607.2
514.5,-4442.85
515.5,95599.9
516.5,109081
517.5,108379
518.5,108500
519.5,109271
520.5,111600
521.5,113895
522.5,114134
523.5,114052
524.5,113942
525.5,113781
526.5,12133.3
527.5,-607.2
528.5,-607.2
529.5,-607.2
530.5,-607.2
531.5,-607.2
532.5,-607.2
533.5,-607.2
534.5,-607.2
535.5,-607.2
536.5,-607.2
537.5,-607.2
538.5,-2311.99
539.5,-1843.26
540.5,-893.16
541.5,-1942.59
542.5,-893.16
543.5,-607.2
544.5,-4562.14
545.5,-893.16
546.5,-607.2
547.5,-607.2
548.5,-607.2
549.5,-607.2
550.5,-607.2
551.5,-607.2
552.5,-607.2
553.5,-607.2
554.5,-607.2
555.5,-607.2
556.5,-607.2
557.5,-607.2
558.5,-607.2
559.5,-607.2
560.5,-607.2
561.5,-607.2
562.5,-4182.89
563.5,79876.2
564.5,110264
565.5,111120
566.5,111784
567.5,111565
568.5,111496
569.5,111086
570.5,109949
571.5,76829.1
572.5,-607.2
573.5,-607.2
574.5,-607.2
575.5,-607.2
576.5,-607.2
577.5,-607.2
578.5,-607.2
579.5,-607.2
580.5,-607.2
581.5,-607.2
582.5,-607.2
583.5,-607.2
584.5,-607.2
585.5,-607.2
586.5,-607.2
587.5,-607.2
588.5,-4141.99
589.5,34035.8
590.5,-893.16
591.5,-607.2
592.5,-4039.15
593.5,-893.16
594.5,-607.2
595.5,-607.2
596.5,-607.2
597.5,-607.2
598.5,-607.2
599.5,-607.2
600.5,-607.2
601.5,-607.2
602.5,-607.2
603.5,-607.2
604.5,-607.2
605.5,-607.2
606.5,-607.2
607.5,-607.2
608.5,-607.2
609.5,-607.2
610.5,-4448.34
611.5,96601.9
612.5,109703
613.5,109210
614.5,109229
615.5,109847
616.5,110974
617.5,111549
618.5,111824
619.5,112050
620.5,111970
621.5,111846
622.5,55986.9
623.5,-607.2
624.5,-607.2
625.5,-607.2
626.5,-607.2
627.5,-607.2
628.5,-607.2
629.5,-607.2
630.5,-607.2
631.5,-607.2
632.5,-607.2
633.5,-607.2
634.5,-2526.54
635.5,-3520.18
636.5,83697
637.5,111607
638.5,111486
639.5,111632
640.5,111494
641.5,53941.8
642.5,-607.2
643.5,-607.2
644.5,-607.2
645.5,-607.2
646.5,-607.2
647.5,-607.2
648.5,-607.2
649.5,-607.2
650.5,-607.2
651.5,-607.2
652.5,-607.2
653.5,-607.2
654.5,-607.2
655.5,-607.2
656.5,-607.2
657.5,-607.2
658.5,-607.2
659.5,-607.2
660.5,-1775.77
661.5,-3597.05
662.5,65295
663.5,111783
664.5,110434
665.5,8016.33
666.5,-893.16
667.5,-607.2
668.5,-607.2
669.5,-607.2
670.5,-607.2
671.5,-607.2
672.5,-607.2
673.5,-607.2
674.5,-607.2
675.5,-607.2
676.5,-607.2
677.5,-607.2
678.5,-607.2
679.5,-607.2
680.5,-607.2
681.5,-607.2
682.5,-3862.19
683.5,57517
684.5,110881
685.5,110474
686.5,110513
687.5,110999
688.5,111749
689.5,110482
690.5,110658
691.5,57993.7
692.5,-607.2
693.5,-607.2
694.5,-607.2
695.5,-607.2
696.5,-607.2
697.5,-607.2
698.5,-607.2
699.5,-607.2
700.5,-607.2
701.5,-607.2
702.5,-607.2
703.5,-607.2
704.5,-607.2
705.5,-607.2
706.5,-4053.81
707.5,71699.9
708.5,110699
709.5,110309
710.5,110362
711.5,110913
712.5,111774
713.5,112256
714.5,112447
715.5,103349
716.5,-607.2
717.5,-607.2
718.5,-607.2
719.5,-607.2
720.5,-607.2
721.5,-607.2
722.5,-607.2
723.5,-607.2
724.5,-607.2
725.5,-607.2
726.5,-607.2
727.5,-607.2
728.5,-607.2
729.5,-607.2
730.5,-4164.04
731.5,79010.8
732.5,110179
733.5,109630
734.5,109535
735.5,110098
736.5,111121
737.5,111876
738.5,113230
739.5,113443
740.5,113334
741.5,108833
742.5,-607.2
743.5,-607.2
744.5,-607.2
745.5,-607.2
746.5,-607.2
747.5,-607.2
748.5,-607.2
749.5,-607.2
750.5,-607.2
751.5,-607.2
752.5,-607.2
753.5,-607.2
754.5,-1776.42
755.5,6136.53
756.5,110049
757.5,111211
758.5,111881
759.5,111808
760.5,111790
761.5,37464.7
762.5,-607.2
763.5,-607.2
764.5,-607.2
765.5,-607.2
766.5,-607.2
767.5,-607.2
768.5,-607.2
769.5,-607.2
770.5,-607.2
771.5,-607.2
772.5,-607.2
773.5,-607.2
774.5,-607.2
775.5,-607.2
776.5,-607.2
777.5,-607.2
778.5,-607.2
779.5,-3092.51
780.5,7017.08
781.5,110502
782.5,110526
783.5,110935
784.5,111598
785.5,111289
786.5,111456
787.5,74387.4
788.5,-607.2
789.5,-607.2
790.5,-607.2
791.5,-607.2
792.5,-607.2
793.5,-607.2
794.5,-607.2
795.5,-607.2
796.5,-607.2
797.5,-607.2
798.5,-607.2
799.5,-607.2
800.5,-607.2
801.5,-607.2
802.5,-4907.93
803.5,109560
804.5,108277
805.5,107705
806.5,107931
807.5,108861
808.5,110141
809.5,111773
810.5,113781
811.5,114035
812.5,113989
813.5,113928
814.5,113844
815.5,113723
816.5,77418.6
817.5,-607.2
818.5,-607.2
819.5,-607.2
820.5,-607.2
821.5,-607.2
822.5,-607.2
823.5,-607.2
824.5,-607.2
825.5,-607.2
826.5,-4476
827.5,98698.2
828.5,111272
829.5,109983
830.5,109405
831.5,109307
832.5,110133
833.5,111688
834.5,113769
835.5,113996
836.5,113905
837.5,113762
838.5,28557.9
839.5,-607.2
840.5,-607.2
841.5,-607.2
842.5,-607.2
843.5,-607.2
844.5,-607.2
845.5,-607.2
846.5,-607.2
847.5,-607.2
848.5,-607.2
849.5,-607.2
850.5,-3968.75
851.5,32101.8
852.5,82943.1
853.5,111089
854.5,111653
855.5,111054
856.5,6388.83
857.5,-2293.57
858.5,-893.16
859.5,-607.2
860.5,-607.2
861.5,-607.2
862.5,-607.2
863.5,-607.2
864.5,-607.2
865.5,-607.2
866.5,-607.2
867.5,-607.2
868.5,-607.2
869.5,-607.2
870.5,-607.2
871.5,-607.2
872.5,-607.2
873.5,-607.2
874.5,-2036.49
875.5,-4083.23
876.5,104872
877.5,109387
