Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
0.5,57240.1
1.5,115369
2.5,115194
3.5,-607.2
4.5,-607.2
5.5,-607.2
6.5,-607.2
7.5,-607.2
8.5,-607.2
9.5,-607.2
10.5,-4045.03
11.5,82528.3
12.5,110205
13.5,109763
14.5,109868
15.5,112160
16.5,111610
17.5,114046
18.5,114183
19.5,114024
20.5,8082.33
21.5,-607.2
22.5,-607.2
23.5,-607.2
24.5,-607.2
25.5,-607.2
26.5,-607.2
27.5,-607.2
28.5,-607.2
29.5,-607.2
30.5,-607.2
31.5,-607.2
32.5,-607.2
33.5,-607.2
34.5,-4237.74
35.5,94584.5
36.5,109698
37.5,109254
38.5,109506
39.5,110312
40.5,111532
41.5,113691
42.5,113854
43.5,113759
44.5,113629
45.5,46230.5
46.5,-607.2
47.5,-607.2
48.5,-607.2
49.5,-607.2
50.5,-607.2
51.5,-607.2
52.5,-607.2
53.5,-607.2
54.5,-607.2
55.5,-607.2
56.5,-607.2
57.5,-607.2
58.5,-3951.2
59.5,76775.1
60.5,110659
61.5,110459
62.5,110718
63.5,111325
64.5,112070
65.5,113037
66.5,113155
67.5,68800.3
68.5,-607.2
69.5,-607.2
70.5,-607.2
71.5,-607.2
72.5,-607.2
73.5,-607.2
74.5,-607.2
75.5,-607.2
76.5,-607.2
77.5,-607.2
78.5,-607.2
79.5,-607.2
80.5,-607.2
81.5,-607.2
82.5,-607.2
83.5,-3921.58
84.5,75052.2
85.5,110516
86.5,104759
87.5,-5131.8
88.5,10317
89.5,-1283.5
90.5,-607.2
91.5,-607.2
92.5,-607.2
93.5,-607.2
94.5,-607.2
95.5,-607.2
96.5,-607.2
97.5,-607.2
98.5,-607.2
99.5,-607.2
100.5,-607.2
101.5,-607.2
102.5,-607.2
103.5,-607.2
104.5,-607.2
105.5,-607.2
106.5,-3990.8
107.5,79538.4
108.5,111103
109.5,111247
110.5,111413
111.5,112022
112.5,111375
113.5,110754
114.5,38971.2
115.5,-607.2
116.5,-607.2
117.5,-607.2
118.5,-607.2
119.5,-607.2
120.5,-607.2
121.5,-607.2
122.5,-607.2
123.5,-607.2
124.5,-607.2
125.5,-607.2
126.5,-607.2
127.5,-607.2
128.5,-607.2
129.5,-607.2
130.5,-3054.8
131.5,34651.6
132.5,111748
133.5,11057.1
134.5,-607.2
135.5,-607.2
136.5,-3154.91
137.5,-835.968
138.5,-607.2
139.5,-607.2
140.5,-607.2
141.5,-607.2
142.5,-607.2
143.5,-607.2
144.5,-607.2
145.5,-607.2
146.5,-607.2
147.5,-607.2
148.5,-607.2
149.5,-607.2
150.5,-607.2
151.5,-607.2
152.5,-607.2
153.5,-607.2
154.5,-3973.09
155.5,78634.2
156.5,110294
157.5,109867
158.5,110004
159.5,110673
160.5,111684
161.5,111630
162.5,111792
163.5,111681
164.5,76189.9
165.5,-607.2
166.5,-607.2
167.5,-607.2
168.5,-607.2
169.5,-607.2
170.5,-607.2
171.5,-607.2
172.5,-607.2
173.5,-607.2
174.5,-607.2
175.5,-607.2
176.5,-607.2
177.5,-607.2
178.5,-2855.07
179.5,19122.6
180.5,110145
181.5,81283
182.5,-6411.09
183.5,110565
184.5,111600
185.5,112538
186.5,26115.3
187.5,-607.2
188.5,-607.2
189.5,-607.2
190.5,-607.2
191.5,-607.2
192.5,-607.2
193.5,-607.2
194.5,-607.2
195.5,-607.2
196.5,-607.2
197.5,-607.2
198.5,-607.2
199.5,-607.2
200.5,-607.2
201.5,-607.2
202.5,-4357.62
203.5,100964
204.5,109345
205.5,109712
206.5,109950
207.5,109970
208.5,111352
209.5,113516
210.5,113692
211.5,113618
212.5,113517
213.5,104262
214.5,-607.2
215.5,-607.2
216.5,-607.2
217.5,-607.2
218.5,-607.2
219.5,-607.2
220.5,-607.2
221.5,-607.2
222.5,-607.2
223.5,-607.2
224.5,-607.2
225.5,-607.2
226.5,-4059.28
227.5,83889.7
228.5,109923
229.5,109518
230.5,109764
231.5,110663
232.5,111714
233.5,113588
234.5,113750
235.5,113641
236.5,113464
237.5,-607.2
238.5,-607.2
239.5,-607.2
240.5,-607.2
241.5,-607.2
242.5,-607.2
243.5,-607.2
244.5,-607.2
245.5,-607.2
246.5,-607.2
247.5,-607.2
248.5,-607.2
249.5,-607.2
250.5,-3839.58
251.5,69052.8
252.5,110415
253.5,109894
254.5,109914
255.5,110461
256.5,111497
257.5,112027
258.5,113330
259.5,113454
260.5,113304
261.5,26047.3
262.5,-607.2
263.5,-607.2
264.5,-607.2
265.5,-607.2
266.5,-607.2
267.5,-607.2
268.5,-607.2
269.5,-607.2
270.5,-607.2
271.5,-607.2
272.5,-607.2
273.5,-607.2
274.5,-3647.5
275.5,54673
276.5,110747
277.5,110343
278.5,110518
279.5,111134
280.5,112020
281.5,112902
282.5,113018
283.5,70651.2
284.5,-607.2
285.5,-607.2
286.5,-607.2
287.5,-607.2
288.5,-607.2
289.5,-607.2
290.5,-607.2
291.5,-607.2
292.5,-607.2
293.5,-607.2
294.5,-607.2
295.5,-607.2
296.5,-607.2
297.5,-607.2
298.5,-3670.48
299.5,56370.1
300.5,110741
301.5,110474
302.5,110570
303.5,111036
304.5,111870
305.5,112769
306.5,112898
307.5,92686.2
308.5,-607.2
309.5,-607.2
310.5,-607.2
311.5,-607.2
312.5,-607.2
313.5,-607.2
314.5,-607.2
315.5,-607.2
316.5,-607.2
317.5,-607.2
318.5,-607.2
319.5,-607.2
320.5,-607.2
321.5,-607.2
322.5,-3112.68
323.5,40148.6
324.5,111488
325.5,28236.5
326.5,-2644.76
327.5,8054.13
328.5,84748.9
329.5,-835.968
330.5,-607.2
331.5,-607.2
332.5,-607.2
333.5,-607.2
334.5,-607.2
335.5,-607.2
336.5,-607.2
337.5,-607.2
338.5,-607.2
339.5,-607.2
340.5,-607.2
341.5,-607.2
342.5,-607.2
343.5,-607.2
344.5,-607.2
345.5,-607.2
346.5,-3176.74
347.5,42189
348.5,110771
349.5,110304
350.5,110172
351.5,110858
352.5,111850
353.5,111386
354.5,111510
355.5,88005.7
356.5,-607.2
357.5,-607.2
358.5,-607.2
359.5,-607.2
360.5,-607.2
361.5,-607.2
362.5,-607.2
363.5,-607.2
364.5,-607.2
365.5,-607.2
366.5,-607.2
367.5,-607.2
368.5,-607.2
369.5,-607.2
370.5,-3883.54
371.5,72440.1
372.5,110601
373.5,111147
374.5,111359
375.5,110992
376.5,12185.1
377.5,-607.2
378.5,-607.2
379.5,-607.2
380.5,-607.2
381.5,-607.2
382.5,-607.2
383.5,-607.2
384.5,-607.2
385.5,-607.2
386.5,-607.2
387.5,-607.2
388.5,-607.2
389.5,-607.2
390.5,-607.2
391.5,-607.2
392.5,-607.2
393.5,-607.2
394.5,-4048.65
395.5,83533.3
396.5,110086
397.5,109390
398.5,109322
399.5,109805
400.5,110856
401.5,112019
402.5,113099
403.5,113270
404.5,113182
405.5,113051
406.5,63002.1
407.5,-607.2
408.5,-607.2
409.5,-607.2
410.5,-607.2
411.5,-607.2
412.5,-607.2
413.5,-607.2
414.5,-607.2
415.5,-607.2
416.5,-607.2
417.5,-607.2
418.5,-4454.45
419.5,103905
420.5,109267
421.5,108680
422.5,108811
423.5,109583
424.5,110861
425.5,112137
426.5,113913
427.5,114089
428.5,114022
429.5,113931
430.5,113792
431.5,33682.1
432.5,-607.2
433.5,-607.2
434.5,-607.2
435.5,-607.2
436.5,-607.2
437.5,-607.2
438.5,-607.2
439.5,-607.2
440.5,-607.2
441.5,-607.2
442.5,-607.2
443.5,-3774.67
444.5,64075.4
445.5,110267
446.5,112037
447.5,111864
448.5,111330
449.5,112283
450.5,41780.9
451.5,-607.2
452.5,-607.2
453.5,-607.2
454.5,-607.2
455.5,-607.2
456.5,-607.2
457.5,-607.2
458.5,-607.2
459.5,-607.2
460.5,-607.2
461.5,-607.2
462.5,-607.2
463.5,-607.2
464.5,-607.2
465.5,-607.2
466.5,-4471.7
467.5,104424
468.5,109267
469.5,108650
470.5,108732
471.5,109461
472.5,110727
473.5,112078
474.5,113641
475.5,113809
476.5,113727
477.5,113634
478.5,113504
479.5,47585.5
480.5,-607.2
481.5,-607.2
482.5,-607.2
483.5,-607.2
484.5,-607.2
485.5,-607.2
486.5,-607.2
487.5,-607.2
488.5,-607.2
489.5,-607.2
490.5,-4141.84
491.5,89176.7
492.5,110253
493.5,110109
494.5,110431
495.5,111100
496.5,111980
497.5,113370
498.5,113524
499.5,113374
500.5,11231.7
501.5,-607.2
502.5,-607.2
503.5,-607.2
504.5,-607.2
505.5,-607.2
506.5,-607.2
507.5,-607.2
508.5,-607.2
509.5,-607.2
510.5,-607.2
511.5,-607.2
512.5,-607.2
513.5,-607.2
514.5,-3918.36
515.5,74626.2
516.5,110387
517.5,109916
518.5,109995
519.5,110516
520.5,112032
521.5,113205
522.5,113352
523.5,113206
524.5,36620.5
525.5,-607.2
526.5,-607.2
527.5,-607.2
528.5,-607.2
529.5,-607.2
530.5,-607.2
531.5,-607.2
532.5,-607.2
533.5,-607.2
534.5,-607.2
535.5,-607.2
536.5,-607.2
537.5,-607.2
538.5,-607.2
539.5,-607.2
540.5,-607.2
541.5,-607.2
542.5,-607.2
543.5,-607.2
544.5,-4017.55
545.5,-835.968
546.5,-607.2
547.5,-607.2
548.5,-607.2
549.5,-607.2
550.5,-607.2
551.5,-607.2
552.5,-607.2
553.5,-607.2
554.5,-607.2
555.5,-607.2
556.5,-607.2
557.5,-607.2
558.5,-607.2
559.5,-607.2
560.5,-607.2
561.5,-607.2
562.5,-3726.67
563.5,61136.1
564.5,111167
565.5,111732
566.5,110587
567.5,112024
568.5,112030
569.5,108923
570.5,14748.7
571.5,-607.2
572.5,-607.2
573.5,-607.2
574.5,-607.2
575.5,-607.2
576.5,-607.2
577.5,-607.2
578.5,-607.2
579.5,-607.2
580.5,-607.2
581.5,-607.2
582.5,-607.2
583.5,-607.2
584.5,-607.2
585.5,-607.2
586.5,-607.2
587.5,-607.2
588.5,-3720.05
589.5,-835.968
590.5,-607.2
591.5,-607.2
592.5,-3597.91
593.5,-840.194
594.5,-607.2
595.5,-607.2
596.5,-607.2
597.5,-607.2
598.5,-607.2
599.5,-607.2
600.5,-607.2
601.5,-607.2
602.5,-607.2
603.5,-607.2
604.5,-607.2
605.5,-607.2
606.5,-607.2
607.5,-607.2
608.5,-607.2
609.5,-607.2
610.5,-3918.29
611.5,75210.2
612.5,110803
613.5,110460
614.5,110473
615.5,110900
616.5,111679
617.5,110437
618.5,109450
619.5,109564
620.5,65010.4
621.5,-607.2
622.5,-607.2
623.5,-607.2
624.5,-607.2
625.5,-607.2
626.5,-607.2
627.5,-607.2
628.5,-607.2
629.5,-607.2
630.5,-607.2
631.5,-607.2
632.5,-607.2
633.5,-607.2
634.5,-1970.43
635.5,-2852.36
636.5,-4023.33
637.5,82945.7
638.5,112004
639.5,111954
640.5,74529.4
641.5,-835.968
642.5,-607.2
643.5,-607.2
644.5,-607.2
645.5,-607.2
646.5,-607.2
647.5,-607.2
648.5,-607.2
649.5,-607.2
650.5,-607.2
651.5,-607.2
652.5,-607.2
653.5,-607.2
654.5,-607.2
655.5,-607.2
656.5,-607.2
657.5,-607.2
658.5,-607.2
659.5,-607.2
660.5,-607.2
661.5,-3221.99
662.5,43667.2
663.5,110863
664.5,67223.5
665.5,-835.968
666.5,-607.2
667.5,-607.2
668.5,-607.2
669.5,-607.2
670.5,-607.2
671.5,-607.2
672.5,-607.2
673.5,-607.2
674.5,-607.2
675.5,-607.2
676.5,-607.2
677.5,-607.2
678.5,-607.2
679.5,-607.2
680.5,-607.2
681.5,-607.2
682.5,-3167.76
683.5,40437.2
684.5,111591
685.5,111297
686.5,111324
687.5,111673
688.5,111283
689.5,103559
690.5,9891.29
691.5,-607.2
692.5,-607.2
693.5,-607.2
694.5,-607.2
695.5,-607.2
696.5,-607.2
697.5,-607.2
698.5,-607.2
699.5,-607.2
700.5,-607.2
701.5,-607.2
702.5,-607.2
703.5,-607.2
704.5,-607.2
705.5,-607.2
706.5,-3587.41
707.5,53773.8
708.5,111482
709.5,111200
710.5,111234
711.5,111622
712.5,111638
713.5,108090
714.5,39247.5
715.5,-607.2
716.5,-607.2
717.5,-607.2
718.5,-607.2
719.5,-607.2
720.5,-607.2
721.5,-607.2
722.5,-607.2
723.5,-607.2
724.5,-607.2
725.5,-607.2
726.5,-607.2
727.5,-607.2
728.5,-607.2
729.5,-607.2
730.5,-3707.47
731.5,60207.6
732.5,111129
733.5,110750
734.5,110689
735.5,111079
736.5,111786
737.5,111063
738.5,111210
739.5,111285
740.5,8369.65
741.5,-607.2
742.5,-607.2
743.5,-607.2
744.5,-607.2
745.5,-607.2
746.5,-607.2
747.5,-607.2
748.5,-607.2
749.5,-607.2
750.5,-607.2
751.5,-607.2
752.5,-607.2
753.5,-607.2
754.5,-607.2
755.5,-4423.1
756.5,103857
757.5,111827
758.5,111078
759.5,111650
760.5,30266.2
761.5,-607.2
762.5,-607.2
763.5,-607.2
764.5,-607.2
765.5,-607.2
766.5,-607.2
767.5,-607.2
768.5,-607.2
769.5,-607.2
770.5,-607.2
771.5,-607.2
772.5,-607.2
773.5,-607.2
774.5,-607.2
775.5,-607.2
776.5,-607.2
777.5,-607.2
778.5,-607.2
779.5,-2494.97
780.5,-3548.15
781.5,93480.2
782.5,111361
783.5,111652
784.5,112110
785.5,108203
786.5,-607.2
787.5,-607.2
788.5,-607.2
789.5,-607.2
790.5,-607.2
791.5,-607.2
792.5,-607.2
793.5,-607.2
794.5,-607.2
795.5,-607.2
796.5,-607.2
797.5,-607.2
798.5,-607.2
799.5,-607.2
800.5,-607.2
801.5,-607.2
802.5,-4264.52
803.5,97302.2
804.5,109952
805.5,109579
806.5,109714
807.5,110307
808.5,111147
809.5,111965
810.5,112630
811.5,112800
812.5,112713
813.5,112577
814.5,33359.1
815.5,-607.2
816.5,-607.2
817.5,-607.2
818.5,-607.2
819.5,-607.2
820.5,-607.2
821.5,-607.2
822.5,-607.2
823.5,-607.2
824.5,-607.2
825.5,-607.2
826.5,-3927.92
827.5,76312.5
828.5,111870
829.5,110994
830.5,110623
831.5,110589
832.5,111148
833.5,112012
834.5,112549
835.5,112650
836.5,34483.7
837.5,-607.2
838.5,-607.2
839.5,-607.2
840.5,-607.2
841.5,-607.2
842.5,-607.2
843.5,-607.2
844.5,-607.2
845.5,-607.2
846.5,-607.2
847.5,-607.2
848.5,-607.2
849.5,-607.2
850.5,-3398.4
851.5,-194.355
852.5,63781.3
853.5,111721
854.5,102574
855.5,64061.6
856.5,-835.968
857.5,-2044.85
858.5,-835.968
859.5,-607.2
860.5,-607.2
861.5,-607.2
